mass,spec5,spec10
5.230874538421631,0.8688534498214722,0
5.232480525970459,-0.04936667159199715,0
5.234086990356445,0,0
5.235693454742432,0,0
5.237300395965576,0,0
5.238907814025879,0,0
5.240515232086182,0,0
5.242122650146484,0,0
5.243730545043945,0,0
5.2453389167785645,0,0
5.246947288513184,0,0
5.248555660247803,0,0
5.25016450881958,0,0
5.251773834228516,0,0
5.253383159637451,0,0
5.254992961883545,0,0
5.256602764129639,0,0
5.258213043212891,0,0
5.259823322296143,0,0
5.261434078216553,0,0
5.263044834136963,0,0
5.264656066894531,0,0
5.2662672996521,0,0
5.267879009246826,0,0
5.269490718841553,0,0
5.2711029052734375,0,0
5.272715091705322,-0.08886000514030457,0
5.274327754974365,2.4584603309631348,0
5.275940418243408,4.44793701171875,0
5.277553558349609,1.100876808166504,0
5.2791666984558105,0.4344267249107361,0
5.28078031539917,0.004936667159199715,0
5.2823944091796875,0.32582002878189087,0
5.284008502960205,0.14810001850128174,0
5.285622596740723,0,0
5.287237167358398,0,0
5.288852214813232,0,0
5.290467262268066,0,0
5.2920823097229,0,0
5.293697834014893,0,0
5.295313835144043,0,0
5.296929836273193,0,0
5.298546314239502,0,0
5.3001627922058105,0,0
5.301779270172119,0,0
5.303396224975586,0,0
5.305013656616211,0,0
5.306631088256836,0,0
5.308248996734619,0,0
5.309866905212402,0,0
5.311485290527344,0,0
5.313103675842285,0,0
5.314722537994385,0,0
5.316341400146484,0,0
5.317960739135742,0,0
5.319580078125,0,0
5.321199893951416,0,0
5.32282018661499,0,0
5.324440002441406,0,0
5.326060771942139,0,0
5.327681541442871,0,0
5.3293023109436035,0,0
5.330923557281494,0,0
5.332545280456543,0,0
5.334167003631592,0,0
5.335788726806641,0,0
5.337410926818848,0,0
5.339033603668213,0,0
5.340656280517578,0,0
5.342278957366943,0,0
5.343902111053467,0,0
5.345525741577148,0,0
5.34714937210083,0,0
5.34877347946167,0,0
5.35039758682251,0,0
5.35202169418335,0,0
5.353646755218506,0,0
5.355271339416504,0,0
5.35689640045166,0,0
5.358521938323975,0,0
5.360147476196289,0,0
5.361773490905762,0,0
5.363399982452393,0,0
5.365025997161865,0,0
5.366652965545654,0,0
5.368279457092285,0,0
5.369906902313232,0,0
5.37153434753418,0,0
5.373161792755127,0,0
5.374789714813232,0,0
5.376417636871338,0,0
5.378046035766602,0,0
5.379674911499023,0,0
5.381303787231445,0,0
5.382932662963867,0,0
5.384562015533447,0,0
5.3861918449401855,0,0
5.387821674346924,0,0
5.389451503753662,0,0
5.391081809997559,0,0
5.392712593078613,0,0
5.394343376159668,0,0
5.395974636077881,0,0
5.397605895996094,0,0
5.399237632751465,0,0
5.400869369506836,0,0
5.402501106262207,0,0
5.4041337966918945,0,0
5.405766010284424,0,0
5.4073991775512695,0,0
5.409031867980957,0,0
5.410665512084961,0,0
5.412298679351807,0,0
5.413932800292969,0,0
5.415566921234131,0,0
5.417201042175293,0.1826566904783249,0
5.418835639953613,2.285676956176758,0
5.420470237731934,1.100876808166504,0
5.422105312347412,0.35544002056121826,0
5.423740386962891,-0.014810001477599144,0
5.425375938415527,0,0
5.427011966705322,0,0
5.428647994995117,0,0
5.430284023284912,0,0
5.431920528411865,0,0
5.433557510375977,0,0
5.435194492340088,0,0
5.436831474304199,0,0
5.438468933105469,0,0
5.4401068687438965,0,0
5.441744804382324,0,0
5.44338321685791,0,0
5.445021629333496,0,0
5.44666051864624,0,0
5.448299407958984,0,0
5.4499382972717285,0,0
5.451578140258789,0,0
5.453217506408691,0,0.21227668225765228
5.45485782623291,0,2.4090936183929443
5.456497669219971,0,1.3921401500701904
5.458138465881348,0,0.42949002981185913
5.459778785705566,0,-0.04936667159199715
5.461420059204102,0,0
5.4630608558654785,0,0
5.464702606201172,0,0
5.466344356536865,0,0
5.467986106872559,0,0
5.46962833404541,0,0
5.471270561218262,0,0
5.4729132652282715,0,0
5.4745564460754395,0,0
5.476199626922607,0,0
5.477842807769775,0,0
5.479486465454102,0,0
5.481130599975586,0,0
5.48277473449707,0,0
5.484418869018555,0,0
5.486063480377197,0,0
5.487708568572998,0,0
5.489353656768799,0,0
5.490999221801758,0,0
5.492644786834717,0,0
5.494290351867676,0,0
5.495936870574951,0,0
5.497582912445068,0,0
5.499229431152344,0,0
5.500876426696777,0,0
5.502523422241211,0,0
5.504170894622803,0,0
5.5058183670043945,0,0
5.5074663162231445,0,0
5.5091142654418945,0,0
5.510762691497803,0,0
5.512411594390869,0,0
5.514060020446777,0,0
5.515709400177002,0,0
5.517358779907227,0,0
5.519008159637451,0,0
5.520658016204834,0,0
5.522307872772217,0,0
5.523958206176758,0,0
5.525609016418457,0,0
5.527259826660156,0,0
5.5289106369018555,0,0
5.530561923980713,0,0
5.5322136878967285,0,0
5.533865451812744,0,0
5.535517692565918,0,0
5.537169933319092,0,0
5.538822174072266,0,0
5.540474891662598,0,0
5.542128086090088,0,0
5.543781280517578,0,0
5.545434951782227,0,0
5.547088623046875,0,0
5.548742771148682,0,0
5.550396919250488,0,0
5.552051544189453,0,0
5.553706169128418,0,0
5.555361270904541,0,0
5.557016372680664,0,0
5.558671951293945,0,0
5.560327529907227,0,0
5.561983585357666,0,0
5.5636396408081055,0,0
5.565296173095703,0,0
5.566953182220459,0,0
5.568610191345215,0,0
5.570267200469971,0,0
5.571924686431885,0,0
5.573582649230957,0,0
5.575240135192871,0,0
5.576898574829102,0,0
5.578557014465332,0,0
5.580215930938721,0,0
5.581874847412109,0,0
5.583533763885498,0,0
5.585193157196045,0,0
5.58685302734375,0,0
5.588512897491455,0,0
5.590173244476318,0,0
5.591833591461182,0,0
5.593493938446045,0,0
5.595155239105225,0,0
5.596816062927246,0,0
5.598477840423584,0,0
5.600139141082764,0,0
5.60180139541626,0,0
5.603463172912598,0,0
5.605125904083252,0,0
5.606788158416748,0,0
5.6084513664245605,0,0
5.610114574432373,0,0
5.6117777824401855,0,0
5.613441467285156,0,0
5.615105152130127,0,0
5.616769313812256,0,0
5.618433952331543,0,0
5.62009859085083,0,0
5.621763229370117,0,0
5.6234283447265625,0,0
5.625093460083008,0,0
5.626759052276611,0,0
5.628425121307373,0,0
5.630091190338135,-0.05430334061384201,0
5.631757736206055,1.4020134210586548,0
5.633424282073975,0.9132834076881409,0
5.6350908279418945,0.2665800154209137,0
5.636757850646973,0,0
5.638425350189209,0,0
5.640092849731445,0,0
5.64176082611084,0,0
5.643428802490234,0,0
5.645097255706787,0,0
5.64676570892334,0,0
5.648434638977051,0,0
5.650103569030762,0,0
5.651772975921631,0,0
5.6534423828125,0,0
5.655112266540527,0,0
5.656782150268555,0,0
5.65845251083374,0,0
5.660122871398926,0,0
5.6617937088012695,0,0
5.6634650230407715,0,0
5.665135860443115,0,0
5.666807651519775,0,0
5.6684794425964355,0,0
5.670151233673096,0,0
5.671823501586914,0,0
5.673496246337891,0,0
5.675168991088867,0,0
5.676841735839844,0,0
5.6785149574279785,0,0
5.6801886558532715,0,0
5.6818623542785645,0,0
5.683536529541016,0,0
5.685210704803467,0,0
5.686884880065918,0,0
5.688559532165527,0,0
5.690234661102295,0,0
5.6919097900390625,0,0
5.693585395812988,0,0
5.695261001586914,0,0
5.696937084197998,0,0
5.698613166809082,0,0
5.700289726257324,0,0
5.701966285705566,0,0
5.703643321990967,0,0
5.705320358276367,0,0
5.706997871398926,0,0
5.708675384521484,0,0
5.710353374481201,0,0
5.712031841278076,0,0
5.713710308074951,0,0
5.715388774871826,0,0
5.717067718505859,0,0
5.718746662139893,0,0
5.720426082611084,0,0
5.722105979919434,0,0
5.723785877227783,0,0
5.725465774536133,0,0
5.727146148681641,0,0
5.728826999664307,0,0
5.730507850646973,0,0
5.732189178466797,0,0
5.733870506286621,0,0
5.735551834106445,0,0
5.737234115600586,0,0
5.738915920257568,0,0
5.740598201751709,0,0
5.742280960083008,0,0
5.743963718414307,0,0
